"station_english_name";"station_latitude";"station_longitude"
"Maitighar  ";"27.6938263";"85.3213987"
"Hanumansthan";"27.693499775963488";"85.32754428684711"
"Singhadurbar";"27.698462422640432";"85.32155927270651"
"Kamaladi Bus Stop";"27.7079801";"85.3177696"
"Shankardev Bus Route Point";"27.703054681034537";"85.32247591763736"
"Dillibazzar Bus Stop";"27.705368";"85.3266746"
"Tilingatar Bus Route Point";"27.7432615";"85.3298986"
"Basundhara Bus Stop";"27.7422265";"85.3326666"
"Bhatbhateni  Narayangopal Chowk";"27.73927182893425";"85.33860135823488"
"Narayangopal Chok Route Point";"27.74003594321974";"85.3370963037014"
"Chappal Karkhana Bus Route Point";"27.734747865839978";"85.34247178584337"
"Boudha Bus Route Point";"27.7207074";"85.3617525"
"Jorpati Bouddha";"27.7218091";"85.3727818"
"Narayantar Bouddha";"27.72159154731513";"85.3798346221447"
"Koteshwor Bus Stop B";"27.678413631154278";"85.34901302307844"
"Minbhawan Bus Route Point";"27.687756693617544";"85.33845718950033"
"New Baneshwor Minbhawan";"27.688336210900587";"85.33559560775757"
"Buddhanagar Bus stop";"27.68961666005669";"85.33000152558088"
"Balkumari Bus Route Point";"27.671385841328252";"85.34020163118839"
"Bhotebahal Bus Route Point";"27.695821267052825";"85.30832324177027"
"Kalimati Bus Route Point";"27.6983909";"85.299426"
"Teku Bus Route Point";"27.696277247225094";"85.3069844841957"
"Kuleshwor Bus Stop";"27.6918124";"85.2987421"
"Balkhu Bus Stop";"27.684840356836112";"85.29815465211867"
"Soltimode Bus Route Point";"27.696645354828682";"85.29365424066783"
"Jaulakhel Chok Bus Stand";"27.6728345";"85.3136069"
"Hariharbhawan Bus Stand";"27.6810413";"85.3174478"
"Krishna Galli ";"27.6798703";"85.3190196"
"Patan Hospital Bus Route Point";"27.668300407052254";"85.32169438898563"
"Ekantakuna Bus Route Point";"27.6666726";"85.3083336"
"Nakhhu Dobato Bus Route Point";"27.6688676";"85.3062415"
"Sallaghari Tinkune Bus Route Point";"27.671701773478627";"85.40843937546015"
"Sallaghari Suryabinayak";"27.66998165439303";"85.41079502552749"
"Chundevi Bus Route Point";"27.66697754236578";"85.41713777929544"
"Surya Vinayak Bus Route Point";"27.665731273375926";"85.42441997677088"
"Jagati Bus Route Point";"27.66644720423729";"85.43757554143667"
"Nalinchok Bus Route Point";"27.654075580073293";"85.45699506998061"
"Palase Bus Route Point";"27.643788732703086";"85.46536222100258"
"Nikosera Bus Route Point";"27.679153825380244";"85.4023839533329"
"Thimi Bus Route Point";"27.673330116051385";"85.38593899458647"
"Jamal";"27.70872304841058";"85.31467538326979"
"Purano Buspark Bhrikutimandap";"27.701870567738805";"85.31659685075283"
"Khani Bibhag";"27.71841225870592";"85.31741324812172"
"Hotel Gangzhong Lazimpat";"27.72282619751261";"85.32117772847414"
"Panipokhari Lazimpat";"27.728159666342798";"85.32422102987766"
"Ratnapark Bus Route Point";"27.7067251";"85.3153718"
"Lainchour Bus Route Point";"27.7172063";"85.3150405"
"Gaushala Pinglasthan";"27.7074909";"85.3439856"
"Mitrapark Bus Route Point";"27.713268274978397";"85.34546781331301"
"Chabahil Gopikrishna";"27.718373377735634";"85.34689575433731"
"Pinglasthan Bus Route Point";"27.705773729366715";"85.34729037433863"
"Maitidevi Ratopul";"27.7081986";"85.3334016"
"Maijubahal Bus Route Point";"27.7176468";"85.3475945"
"Kalanki Bus Route Point";"27.6933988";"85.2816591"
"Kalanki Malpot Bus Route Point";"27.6916984";"85.2825147"
"Thapathali Campus";"27.6939878";"85.319277"
"Gwarko Route Point";"27.666631308470492";"85.3321261703968"
"Saatdobato Bus Route Point";"27.65876770286948";"85.3247058391571"
"Mahalaxmisthan Bus Route Point";"27.6613821";"85.3181854"
"Samakhushi Bus Route Point";"27.735126823580458";"85.31819745898247"
"Balaju Chowk";"27.72720553146613";"85.30480753630398"
"Naya Bus Park Route Point";"27.735157982928836";"85.30817840248346"
"Siddhartha Banasthali Chok";"27.724865417257252";"85.29783044010401"
"Dhungedhara Banasthali";"27.72339543777434";"85.29454976320268"
"Machha Pokhari Bus Route Point";"27.735268079221733";"85.30581302940847"
"BalMandir Bus Route Point";"27.7149565";"85.3296626"
"Naag Pokhari Bus Stop";"27.71335583544097";"85.32360948622227"
"Chhate Ganesh Bus Route Point";"27.7170769417201";"85.33037200570105"
"Bhatbhateni Tangal";"27.71917859683293";"85.33106032758951"
"Naxal Bus Stop";"27.7126438";"85.3286809"
"Saraswati Campus Route Point";"27.718234177812313";"85.31077578663826"
